,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,cumulated_cases,new_cases,growth_ratio
114,2019-12-31,31,12,2019,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,0.0
113,2020-01-01,1,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
112,2020-01-02,2,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
111,2020-01-03,3,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
110,2020-01-04,4,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
109,2020-01-05,5,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
108,2020-01-06,6,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
107,2020-01-07,7,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
106,2020-01-08,8,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
105,2020-01-09,9,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
104,2020-01-10,10,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
103,2020-01-11,11,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
102,2020-01-12,12,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
101,2020-01-13,13,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
100,2020-01-14,14,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
99,2020-01-15,15,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
98,2020-01-16,16,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
97,2020-01-17,17,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
96,2020-01-18,18,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
95,2020-01-19,19,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
94,2020-01-20,20,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,
93,2020-01-21,21,1,2020,1,0,United_States_of_America,US,USA,327167434.0,America,1,1,inf
92,2020-01-22,22,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,1,0,0.0
91,2020-01-23,23,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,1,0,
90,2020-01-24,24,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,1,0,
89,2020-01-25,25,1,2020,1,0,United_States_of_America,US,USA,327167434.0,America,2,1,inf
88,2020-01-26,26,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,2,0,0.0
87,2020-01-27,27,1,2020,3,0,United_States_of_America,US,USA,327167434.0,America,5,3,inf
86,2020-01-28,28,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,5,0,0.0
85,2020-01-29,29,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,5,0,
84,2020-01-30,30,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,5,0,
83,2020-01-31,31,1,2020,1,0,United_States_of_America,US,USA,327167434.0,America,6,1,inf
82,2020-02-01,1,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,7,1,1.0
81,2020-02-02,2,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,8,1,1.0
80,2020-02-03,3,2,2020,3,0,United_States_of_America,US,USA,327167434.0,America,11,3,3.0
79,2020-02-04,4,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,11,0,0.0
78,2020-02-05,5,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,11,0,
77,2020-02-06,6,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,12,1,inf
76,2020-02-07,7,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,12,0,0.0
75,2020-02-08,8,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,12,0,
74,2020-02-09,9,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,12,0,
73,2020-02-10,10,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,12,0,
72,2020-02-11,11,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,13,1,inf
71,2020-02-12,12,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,13,0,0.0
70,2020-02-13,13,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,14,1,inf
69,2020-02-14,14,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,15,1,1.0
68,2020-02-15,15,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,15,0,0.0
67,2020-02-16,16,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,15,0,
66,2020-02-17,17,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,15,0,
65,2020-02-18,18,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,15,0,
64,2020-02-19,19,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,15,0,
